Id,Name,Description,Created on,Updated on,Owner,License,Includes wiki,Forks count,Issues count,Stars count,Watchers count,Repo URL,Commits URL,Languages URL,Views,Clones,Languages
208961428,Software.rizzuti2019SEGadf,Frequency-domain dual formulation of WRI - software companion to SEG 2019 presentation,2019-09-17T04:46:47Z,2020-01-31T21:54:57Z,slimgroup,MIT License,True,1,0,0,0,https://api.github.com/repos/slimgroup/Software.rizzuti2019SEGadf,https://api.github.com/repos/slimgroup/Software.rizzuti2019SEGadf/commits,https://api.github.com/repos/slimgroup/Software.rizzuti2019SEGadf/languages,0,0,Julia
235319635,Software.rizzuti2020EAGEtwri,Software accompanying EAGE 2020 submission,2020-01-21T10:49:34Z,2020-11-01T14:23:12Z,slimgroup,MIT License,True,0,0,1,1,https://api.github.com/repos/slimgroup/Software.rizzuti2020EAGEtwri,https://api.github.com/repos/slimgroup/Software.rizzuti2020EAGEtwri/commits,https://api.github.com/repos/slimgroup/Software.rizzuti2020EAGEtwri/languages,1,0,"Julia, Python"
255693680,Software.SEG2020,Software for SEG2020 abstracts,2020-04-14T18:34:44Z,2021-08-16T18:57:15Z,slimgroup,MIT License,True,7,0,10,10,https://api.github.com/repos/slimgroup/Software.SEG2020,https://api.github.com/repos/slimgroup/Software.SEG2020/commits,https://api.github.com/repos/slimgroup/Software.SEG2020/languages,7,8,"Python, Julia, Shell"
353477680,Software.SEG2021,Software for SEG2021 abstracts,2021-03-31T20:09:58Z,2021-08-27T21:39:25Z,slimgroup,MIT License,True,1,0,3,3,https://api.github.com/repos/slimgroup/Software.SEG2021,https://api.github.com/repos/slimgroup/Software.SEG2021/commits,https://api.github.com/repos/slimgroup/Software.SEG2021/languages,6,3,Julia
231124740,Software.siahkoohi2019itl,"The importance of transfer learning in seismic modeling and imaging by Siahkoohi, A., Louboutin, M., and Herrmann, F. J.",2019-12-31T17:20:49Z,2020-04-03T23:35:15Z,slimgroup,MIT License,True,0,1,0,0,https://api.github.com/repos/slimgroup/Software.siahkoohi2019itl,https://api.github.com/repos/slimgroup/Software.siahkoohi2019itl/commits,https://api.github.com/repos/slimgroup/Software.siahkoohi2019itl/languages,3,1,"Python, Shell"
223004456,Software.siahkoohi2019SEGdlbTF,"(TensorFlow) Deep-learning based ocean bottom seismic wavefield recovery by Siahkoohi, A., Kumar, R., and Herrmann, F.J.",2019-11-20T18:46:24Z,2020-04-03T23:33:30Z,slimgroup,MIT License,True,0,1,0,0,https://api.github.com/repos/slimgroup/Software.siahkoohi2019SEGdlbTF,https://api.github.com/repos/slimgroup/Software.siahkoohi2019SEGdlbTF/commits,https://api.github.com/repos/slimgroup/Software.siahkoohi2019SEGdlbTF/languages,3,1,"Python, Shell"
242647171,Software.siahkoohi2019SEGdlbTorch,"(PyTorch) Deep-learning based ocean bottom seismic wavefield recovery by Siahkoohi, A., Kumar, R., and Herrmann, F.J.",2020-02-24T04:34:16Z,2021-08-16T17:32:24Z,slimgroup,MIT License,True,1,0,1,1,https://api.github.com/repos/slimgroup/Software.siahkoohi2019SEGdlbTorch,https://api.github.com/repos/slimgroup/Software.siahkoohi2019SEGdlbTorch/commits,https://api.github.com/repos/slimgroup/Software.siahkoohi2019SEGdlbTorch/languages,4,0,"Python, Shell"
227206197,Software.siahkoohi2019TRnna,"Neural network augmented wave-equation simulation by Siahkoohi, A., Louboutin, M., and Herrmann, F.J.",2019-12-10T20:08:24Z,2020-11-11T02:57:06Z,slimgroup,MIT License,True,0,0,2,2,https://api.github.com/repos/slimgroup/Software.siahkoohi2019TRnna,https://api.github.com/repos/slimgroup/Software.siahkoohi2019TRnna/commits,https://api.github.com/repos/slimgroup/Software.siahkoohi2019TRnna/languages,2,5,"Python, Shell"
233915975,Software.siahkoohi2020EAGEdlb,"A deep-learning based Bayesian approach to seismic imaging and uncertainty quantification by Siahkoohi, A., Rizzuti, G., and Herrmann, F.J.",2020-01-14T19:11:27Z,2021-09-28T13:34:35Z,slimgroup,MIT License,True,1,0,7,7,https://api.github.com/repos/slimgroup/Software.siahkoohi2020EAGEdlb,https://api.github.com/repos/slimgroup/Software.siahkoohi2020EAGEdlb/commits,https://api.github.com/repos/slimgroup/Software.siahkoohi2020EAGEdlb/languages,5,4,"Python, Shell"
864765,spot,A linear-operator toolbox for Matlab,2010-08-26T19:26:01Z,2020-05-05T09:09:55Z,slimgroup,GNU General Public License v3.0,True,3,0,4,4,https://api.github.com/repos/slimgroup/spot,https://api.github.com/repos/slimgroup/spot/commits,https://api.github.com/repos/slimgroup/spot/languages,2,0,"MATLAB, C"
315379853,StencilConv,Convolutional layers in devito,2020-11-23T16:47:28Z,2021-03-17T15:37:33Z,slimgroup,,True,0,0,0,0,https://api.github.com/repos/slimgroup/StencilConv,https://api.github.com/repos/slimgroup/StencilConv/commits,https://api.github.com/repos/slimgroup/StencilConv/languages,0,1,"Python, Shell"
346371878,TimeProbeSeismic.jl,Memory efficient seismic inversion via trace estimation,2021-03-10T13:50:39Z,2021-11-02T11:55:59Z,slimgroup,MIT License,True,0,1,1,1,https://api.github.com/repos/slimgroup/TimeProbeSeismic.jl,https://api.github.com/repos/slimgroup/TimeProbeSeismic.jl/commits,https://api.github.com/repos/slimgroup/TimeProbeSeismic.jl/languages,7,13,"Julia, TeX"
213469211,Tutorials,Public tutorials for plotting and cloud usage,2019-10-07T19:31:07Z,2020-04-26T02:32:51Z,slimgroup,,True,0,0,0,0,https://api.github.com/repos/slimgroup/Tutorials,https://api.github.com/repos/slimgroup/Tutorials/commits,https://api.github.com/repos/slimgroup/Tutorials/languages,0,2,Julia
393108391,TwoPhaseSpeedTest,3D Example of 2 phase flow solvers based on OPM,2021-08-05T16:26:18Z,2021-11-08T14:53:26Z,slimgroup,MIT License,True,0,0,0,0,https://api.github.com/repos/slimgroup/TwoPhaseSpeedTest,https://api.github.com/repos/slimgroup/TwoPhaseSpeedTest/commits,https://api.github.com/repos/slimgroup/TwoPhaseSpeedTest/languages,6,10,"Julia, Shell"
383553743,ultrasound-benchmark,Devito vs kwave benchmark,2021-07-06T17:47:00Z,2021-07-06T17:55:30Z,slimgroup,MIT License,True,0,0,0,0,https://api.github.com/repos/slimgroup/ultrasound-benchmark,https://api.github.com/repos/slimgroup/ultrasound-benchmark/commits,https://api.github.com/repos/slimgroup/ultrasound-benchmark/languages,0,0,Python
81985666,WAVEFORM,Framework for large-scale non-linear inverse problems,2017-02-14T20:24:58Z,2020-12-03T03:24:03Z,slimgroup,MIT License,True,6,2,6,6,https://api.github.com/repos/slimgroup/WAVEFORM,https://api.github.com/repos/slimgroup/WAVEFORM/commits,https://api.github.com/repos/slimgroup/WAVEFORM/languages,13,4,"MATLAB, C, Makefile, M"
91611020,WAVEFORM.jl,Julia framework for large-scale non-linear inverse problems,2017-05-17T19:05:27Z,2021-03-30T10:51:28Z,slimgroup,MIT License,True,1,0,5,5,https://api.github.com/repos/slimgroup/WAVEFORM.jl,https://api.github.com/repos/slimgroup/WAVEFORM.jl/commits,https://api.github.com/repos/slimgroup/WAVEFORM.jl/languages,4,4,Julia
346371507,XConv,Memory efficient convolution networks,2021-03-10T13:49:13Z,2021-08-16T19:16:25Z,slimgroup,MIT License,True,0,0,3,3,https://api.github.com/repos/slimgroup/XConv,https://api.github.com/repos/slimgroup/XConv/commits,https://api.github.com/repos/slimgroup/XConv/languages,7,2,"Python, Julia"
